name,smiles,formula,MW,nF,nC,class,previous_nF,status
4-2-FTSA,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6H5F9O3S,328.15,9,6,FT,9,unchanged
6-2-FTCA,OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H3F13O2,378.08,13,8,FT,13,unchanged
6-2-FTSA,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H5F13O3S,428.17,13,8,FT,13,unchanged
8-2-FTCA,OC(=O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H3F17O2,478.1,17,10,FT,17,unchanged
8-2-FTSA,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H5F17O3S,528.18,17,10,FT,17,unchanged
ADONA,OC(=O)C(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C7H2F12O4,378.06,12,7,ether,NEW,NEW
EtFOSA,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H6F17NO2S,527.2,17,10,sulfonamide,17,unchanged
F-53B,OS(=O)(=O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C8HClF16O4S,532.58,16,8,ether,10,CORRECTED
FOSA,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8H2F17NO2S,499.14,17,8,sulfonamide,17,unchanged
GenX,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF11O3,330.05,11,6,ether,7,CORRECTED
HFPO-TA,OC(=O)C(F)(C(F)(F)F)OC(F)(F)C(F)(C(F)(F)F)OC(F)(F)C(F)(F)C(F)(F)F,C9HF17O4,496.07,17,9,ether,11,CORRECTED
MeFOSA,CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9H4F17NO2S,513.17,17,9,sulfonamide,17,unchanged
PFBA,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,C4HF7O2,214.04,7,4,PFCA,3,CORRECTED
PFBS,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4HF9O3S,300.1,9,4,PFSA,9,unchanged
PFDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10HF19O2,514.08,19,10,PFCA,19,unchanged
PFDS,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10HF21O3S,600.14,21,10,PFSA,21,unchanged
PFDoDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12HF23O2,614.09,23,12,PFCA,23,unchanged
PFECHS,OS(=O)(=O)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F,C8HF15O3S,462.13,15,8,cyclic,11,CORRECTED
PFHpA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7HF13O2,364.06,13,7,PFCA,3,CORRECTED
PFHpS,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C7HF15O3S,450.12,15,7,PFSA,15,unchanged
PFHxA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HF11O2,314.05,11,6,PFCA,3,CORRECTED
PFHxS,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HF13O3S,400.11,13,6,PFSA,13,unchanged
PFNA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C9HF17O2,464.07,17,9,PFCA,17,unchanged
PFOA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF15O2,414.06,15,8,PFCA,15,unchanged
PFOS,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF17O3S,500.13,17,8,PFSA,17,unchanged
PFPeA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5HF9O2,264.04,9,5,PFCA,3,CORRECTED
PFPeS,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C5HF11O3S,350.1,11,5,PFSA,11,unchanged
PFUnDA,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C11HF21O2,564.09,21,11,PFCA,21,unchanged
