pfas,mean_dG,s_bind,nF,nC,hazard_H
4-2-FTSA,-7.051,7.051,9,6,0.307
6-2-FTCA,-7.800142857142857,7.800142857142857,13,8,0.517
6-2-FTSA,-8.140857142857143,8.140857142857143,13,8,0.566
8-2-FTCA,-8.544285714285715,8.544285714285715,17,10,0.683
8-2-FTSA,-8.855285714285715,8.855285714285715,17,10,0.766
EtFOSA,-8.712571428571428,8.712571428571428,17,10,0.839
F-53B,-8.740142857142859,8.740142857142859,16,8,0.796
FOSA,-8.854142857142858,8.854142857142858,17,8,0.832
GenX,-7.621857142857142,7.621857142857142,11,6,0.547
HFPO-TA,-8.702857142857143,8.702857142857143,17,9,0.501
MeFOSA,-8.676857142857143,8.676857142857143,17,9,0.836
PFBA,-6.145857142857143,6.145857142857143,7,4,0.12
PFBS,-6.9038571428571425,6.9038571428571425,9,4,0.28
PFDA,-9.041285714285713,9.041285714285713,19,10,0.952
PFDS,-9.485714285714286,9.485714285714286,21,10,0.94
PFDoDA,-9.612,9.612,23,12,0.96
PFECHS,-8.926428571428572,8.926428571428572,15,8,0.847
PFHpA,-7.8671428571428565,7.8671428571428565,13,7,0.614
PFHpS,-8.316571428571427,8.316571428571427,15,7,0.779
PFHxA,-7.239142857142858,7.239142857142858,11,6,0.453
PFHxS,-7.801857142857142,7.801857142857142,13,6,0.958
PFNA,-8.62557142857143,8.62557142857143,17,9,0.919
PFOA,-8.15857142857143,8.15857142857143,15,8,0.859
PFOS,-8.849285714285715,8.849285714285715,17,8,0.934
PFPeA,-6.7051428571428575,6.7051428571428575,9,5,0.271
PFPeS,-7.521571428571428,7.521571428571428,11,5,0.532
PFUnDA,-9.246714285714287,9.246714285714287,21,11,0.957
