pfas,PXR,PPAR-a,PPAR-g,ER-a,TR-a,TTR,HSA
4-2-FTSA,-7.448,-6.996,-6.75,-7.253,-7.273,-6.676,-6.961
6-2-FTCA,-8.264,-7.555,-7.527,-7.99,-8.365,-7.405,-7.495
6-2-FTSA,-8.488,-7.984,-7.433,-8.483,-9.282,-7.313,-8.003
8-2-FTCA,-8.655,-7.945,-7.965,-9.406,-9.282,-8.369,-8.188
8-2-FTSA,-9.516,-8.081,-8.146,-9.446,-9.678,-8.485,-8.635
ADONA,-7.716,-8.012,-7.598,-7.873,-8.039,-7.344,-7.392
EtFOSA,-9.006,-7.52,-8.317,-9.385,-9.532,-8.403,-8.825
F-53B,-9.292,-7.87,-8.166,-9.022,-9.762,-8.508,-8.561
FOSA,-9.414,-8.017,-8.188,-9.598,-9.883,-8.545,-8.334
GenX,-7.74,-7.575,-7.484,-7.364,-8.206,-7.272,-7.712
HFPO-TA,-8.699,-8.275,-8.208,-9.168,-9.086,-9.055,-8.429
MeFOSA,-9.087,-7.614,-8.092,-8.968,-9.822,-8.618,-8.537
PFBA,-6.454,-6.178,-5.797,-6.268,-6.206,-5.825,-6.293
PFBS,-6.896,-6.589,-6.862,-6.851,-6.892,-7.178,-7.059
PFDA,-9.611,-8.374,-8.437,-9.217,-9.951,-8.903,-8.796
PFDS,-10.41,-7.972,-8.891,-9.706,-10.79,-9.253,-9.378
PFDoDA,-10.02,-8.593,-9.023,-9.656,-10.6,-9.696,-9.696
PFECHS,-9.372,-8.572,-8.186,-10.16,-9.063,-9.585,-7.547
PFHpA,-8.125,-7.516,-7.306,-7.862,-8.543,-7.769,-7.949
PFHpS,-8.262,-8.406,-7.334,-9.046,-8.827,-7.919,-8.422
PFHxA,-7.739,-6.95,-6.58,-7.334,-7.534,-7.197,-7.34
PFHxS,-8.181,-7.652,-7.351,-8.075,-8.371,-7.434,-7.549
PFNA,-8.784,-8.637,-7.856,-9.185,-9.031,-8.561,-8.325
PFOA,-8.255,-8.139,-7.143,-8.566,-9.134,-8.055,-7.818
PFOS,-8.842,-8.373,-8.095,-9.475,-9.94,-8.496,-8.724
PFPeA,-7.144,-6.45,-6.692,-6.4,-6.684,-6.756,-6.81
PFPeS,-7.84,-6.864,-7.083,-7.662,-7.957,-7.23,-8.015
PFUnDA,-9.273,-8.022,-8.761,-9.864,-10.05,-9.548,-9.209
