pfas,PXR,PPAR-a,PPAR-g,ER-a,TR-a,TTR,HSA
4-2-FTSA,-7.241,-7.131,-6.902,-7.181,-7.417,-6.698,-6.928
6-2-FTCA,-8.075,-8.155,-7.343,-8.126,-8.332,-7.431,-7.646
6-2-FTSA,-8.958,-7.491,-7.313,-8.548,-9.027,-7.211,-7.924
8-2-FTCA,-8.951,-8.074,-7.864,-8.977,-9.852,-8.526,-8.383
8-2-FTSA,-9.403,-7.631,-7.989,-9.209,-10.08,-8.673,-8.855
ADONA,-7.484,-7.791,-7.276,-8.058,-7.989,-7.337,-7.375
EtFOSA,-9.428,-7.52,-8.317,-9.385,-9.532,-8.403,-8.825
F-53B,-9.063,-8.573,-8.253,-9.19,-9.7,-8.709,-8.556
FOSA,-9.755,-8.017,-8.188,-9.598,-9.883,-8.545,-8.334
GenX,-7.377,-7.311,-7.311,-7.373,-7.879,-6.926,-7.485
HFPO-TA,-8.367,-8.158,-8.265,-9.026,-9.177,-8.99,-8.488
MeFOSA,-9.438,-7.614,-8.092,-8.968,-9.822,-8.618,-8.537
PFBA,-6.349,-5.818,-5.733,-6.171,-5.985,-5.773,-6.139
PFBS,-7.222,-6.781,-7.027,-6.798,-7.134,-6.913,-7.308
PFDA,-10.0,-8.621,-8.387,-9.314,-9.871,-8.663,-8.674
PFDS,-10.039,-8.315,-7.991,-9.558,-10.61,-9.047,-9.408
PFDoDA,-10.289,-8.511,-8.924,-10.0,-9.861,-9.641,-9.775
PFECHS,-9.14,-8.19,-7.815,-10.32,-9.313,-9.441,-7.798
PFHpA,-7.353,-7.17,-7.382,-7.86,-7.934,-7.604,-7.914
PFHpS,-8.693,-8.051,-7.436,-9.178,-9.195,-7.926,-8.344
PFHxA,-7.89,-6.761,-7.093,-7.091,-7.433,-7.42,-7.257
PFHxS,-8.371,-7.598,-7.913,-8.29,-8.019,-7.562,-8.114
PFNA,-9.237,-8.497,-8.072,-9.45,-8.995,-8.446,-8.69
PFOA,-8.233,-7.986,-7.834,-8.714,-8.838,-8.051,-7.879
PFOS,-9.63,-8.006,-8.129,-9.29,-9.951,-8.713,-8.446
PFPeA,-7.407,-6.395,-6.65,-6.377,-6.948,-6.885,-6.635
PFPeS,-7.705,-6.904,-7.045,-7.294,-7.727,-7.719,-7.717
PFUnDA,-10.098,-8.065,-8.72,-9.66,-9.739,-8.972,-9.174
