Compound,Receptor,Concentration_uM,Replicate,Fold_induction
F-53B,PPAR-a,0.3,1,1.1519
F-53B,PPAR-a,0.3,2,1.0113
F-53B,PPAR-a,0.3,3,1.0552
F-53B,PPAR-a,0.3,4,1.0092
F-53B,PPAR-a,0.3,5,1.141
F-53B,PPAR-a,0.3,6,0.9825
F-53B,PPAR-a,0.3,7,1.1153
F-53B,PPAR-a,0.3,8,1.0969
F-53B,PPAR-a,0.3,9,0.9425
F-53B,PPAR-a,1.0,1,1.1295
F-53B,PPAR-a,1.0,2,1.1697
F-53B,PPAR-a,1.0,3,1.358
F-53B,PPAR-a,1.0,4,1.1883
F-53B,PPAR-a,1.0,5,1.3134
F-53B,PPAR-a,1.0,6,1.1941
F-53B,PPAR-a,1.0,7,1.0042
F-53B,PPAR-a,1.0,8,1.2256
F-53B,PPAR-a,1.0,9,1.1042
F-53B,PPAR-a,3.0,1,1.5234
F-53B,PPAR-a,3.0,2,1.3812
F-53B,PPAR-a,3.0,3,1.2002
F-53B,PPAR-a,3.0,4,1.5903
F-53B,PPAR-a,3.0,5,1.7032
F-53B,PPAR-a,3.0,6,1.594
F-53B,PPAR-a,3.0,7,1.5531
F-53B,PPAR-a,3.0,8,1.6048
F-53B,PPAR-a,3.0,9,1.5321
F-53B,PPAR-a,10.0,1,3.29
F-53B,PPAR-a,10.0,2,2.9422
F-53B,PPAR-a,10.0,3,2.6349
F-53B,PPAR-a,10.0,4,2.9421
F-53B,PPAR-a,10.0,5,2.9932
F-53B,PPAR-a,10.0,6,3.1341
F-53B,PPAR-a,10.0,7,2.6142
F-53B,PPAR-a,10.0,8,2.8482
F-53B,PPAR-a,10.0,9,2.4214
F-53B,PPAR-a,20.0,1,3.5149
F-53B,PPAR-a,20.0,2,4.1445
F-53B,PPAR-a,20.0,3,3.5139
F-53B,PPAR-a,20.0,4,3.714
F-53B,PPAR-a,20.0,5,4.3248
F-53B,PPAR-a,20.0,6,3.8823
F-53B,PPAR-a,20.0,7,3.2345
F-53B,PPAR-a,20.0,8,4.3132
F-53B,PPAR-a,20.0,9,4.3105
F-53B,PPAR-a,50.0,1,5.7321
F-53B,PPAR-a,50.0,2,5.349
F-53B,PPAR-a,50.0,3,5.5038
F-53B,PPAR-a,50.0,4,4.4158
F-53B,PPAR-a,50.0,5,5.4589
F-53B,PPAR-a,50.0,6,6.0184
F-53B,PPAR-a,50.0,7,6.3281
F-53B,PPAR-a,50.0,8,5.7147
F-53B,PPAR-a,50.0,9,5.5891
F-53B,PPAR-a,75.0,1,5.9913
