Compound,Receptor,Concentration_uM,count,mean,std,sem
F-53B,PPAR-a,0.3,9,1.0562,0.0742,0.0247
F-53B,PPAR-a,1.0,9,1.1874,0.1064,0.0355
F-53B,PPAR-a,3.0,9,1.5203,0.1475,0.0492
F-53B,PPAR-a,10.0,9,2.8689,0.2725,0.0908
F-53B,PPAR-a,20.0,9,3.8836,0.4111,0.137
F-53B,PPAR-a,50.0,9,5.5678,0.5269,0.1756
F-53B,PPAR-a,75.0,9,6.2341,0.4494,0.1498
F-53B,PPAR-a,100.0,9,6.4019,1.1931,0.3977
F-53B,PXR,0.3,9,0.9663,0.1119,0.0373
F-53B,PXR,1.0,9,1.061,0.1068,0.0356
F-53B,PXR,3.0,9,1.1122,0.1009,0.0336
F-53B,PXR,10.0,9,1.2925,0.1553,0.0518
F-53B,PXR,20.0,9,1.5345,0.1061,0.0354
F-53B,PXR,50.0,9,1.938,0.1246,0.0415
F-53B,PXR,75.0,9,2.136,0.2094,0.0698
F-53B,PXR,100.0,9,2.2336,0.2121,0.0707
GenX,PPAR-a,0.3,9,1.0831,0.1333,0.0444
GenX,PPAR-a,1.0,9,1.1074,0.1013,0.0338
GenX,PPAR-a,3.0,9,1.1115,0.1326,0.0442
GenX,PPAR-a,10.0,9,1.2117,0.1574,0.0525
GenX,PPAR-a,20.0,9,1.4619,0.1065,0.0355
GenX,PPAR-a,50.0,9,1.6613,0.1007,0.0336
GenX,PPAR-a,75.0,9,1.7947,0.1141,0.038
GenX,PPAR-a,100.0,9,1.8899,0.0597,0.0199
GenX,PXR,0.3,9,1.0859,0.0952,0.0317
GenX,PXR,1.0,9,1.1627,0.1111,0.037
GenX,PXR,3.0,9,1.6618,0.1447,0.0482
GenX,PXR,10.0,9,3.1543,0.1854,0.0618
GenX,PXR,20.0,9,4.5977,0.3279,0.1093
GenX,PXR,50.0,9,6.3221,0.379,0.1263
GenX,PXR,75.0,9,7.3219,0.4207,0.1402
GenX,PXR,100.0,9,8.0212,0.9109,0.3036
HFPO-TA,PPAR-a,0.3,9,1.0761,0.1325,0.0442
HFPO-TA,PPAR-a,1.0,9,1.2786,0.1237,0.0412
HFPO-TA,PPAR-a,3.0,9,1.9819,0.1504,0.0501
HFPO-TA,PPAR-a,10.0,9,3.7423,0.2243,0.0748
HFPO-TA,PPAR-a,20.0,9,5.042,0.4712,0.1571
HFPO-TA,PPAR-a,50.0,9,7.0629,0.4022,0.1341
HFPO-TA,PPAR-a,75.0,9,8.3567,0.6569,0.219
HFPO-TA,PPAR-a,100.0,9,8.5617,0.4878,0.1626
HFPO-TA,PXR,0.3,9,1.0465,0.1255,0.0418
HFPO-TA,PXR,1.0,9,1.1086,0.1792,0.0597
HFPO-TA,PXR,3.0,9,1.0824,0.1217,0.0406
HFPO-TA,PXR,10.0,9,1.2192,0.1524,0.0508
HFPO-TA,PXR,20.0,9,1.3793,0.2066,0.0689
HFPO-TA,PXR,50.0,9,2.0744,0.3244,0.1081
HFPO-TA,PXR,75.0,9,2.5218,0.2619,0.0873
HFPO-TA,PXR,100.0,9,2.8109,0.3223,0.1074
PFECHS,PPAR-a,0.3,9,1.0352,0.1189,0.0396
PFECHS,PPAR-a,1.0,9,1.1047,0.118,0.0393
PFECHS,PPAR-a,3.0,9,1.0607,0.1205,0.0402
PFECHS,PPAR-a,10.0,9,1.1412,0.0997,0.0332
PFECHS,PPAR-a,20.0,9,1.1042,0.1172,0.0391
PFECHS,PPAR-a,50.0,9,1.2682,0.1135,0.0378
PFECHS,PPAR-a,75.0,9,1.3643,0.1058,0.0353
PFECHS,PPAR-a,100.0,9,1.4623,0.1689,0.0563
PFECHS,PXR,0.3,9,1.2702,0.1406,0.0469
PFECHS,PXR,1.0,9,1.453,0.1223,0.0408
PFECHS,PXR,3.0,9,2.1859,0.1967,0.0656
PFECHS,PXR,10.0,9,4.2044,0.3605,0.1202
PFECHS,PXR,20.0,9,6.1826,0.3085,0.1028
PFECHS,PXR,50.0,9,8.953,0.6833,0.2278
PFECHS,PXR,75.0,9,9.145,0.8376,0.2792
PFECHS,PXR,100.0,9,9.565,0.6976,0.2325
